"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 16 05:00:45 GMT 2025","Sat Aug 16 05:00:47 GMT 2025","1276","tests","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Aug 16 05:00:44 GMT 2025","Sat Aug 16 05:00:45 GMT 2025","1189","tests","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Aug 16 05:00:42 GMT 2025","Sat Aug 16 05:00:44 GMT 2025","1454","tests","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Aug 16 05:00:48 GMT 2025","Sat Aug 16 05:00:50 GMT 2025","1902","tests","test_product","TestProduct","","","Add product to cart",""
"passed","Sat Aug 16 05:00:53 GMT 2025","Sat Aug 16 05:00:56 GMT 2025","2866","tests","test_registration","TestRegistration","","","Register new user",""
"passed","Sat Aug 16 05:00:50 GMT 2025","Sat Aug 16 05:00:53 GMT 2025","3074","tests","test_registration","TestRegistration","","","Register new user",""
"passed","Sat Aug 16 05:00:40 GMT 2025","Sat Aug 16 05:00:42 GMT 2025","2057","tests","test_authorization","TestAuthorization","","","User successful login",""
